"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-297.77,0.0009349,-0.001463,0.0020981,87.287,41.063,7.6831
-781.52,0.010039,0.0048126,0.00010984,16.742,64.974,5.5637
-740.27,0.54784,-0.43792,0.028695,17.945,21.94,18.677
-45.137,0.0005537,-0.00021366,0.0000085673,49.204,11.275,33.738
-140.9,1.2104,-0.86289,0.23505,65.72,61.615,34.402
-293.05,-0.000088346,0.00029757,0.000061038,112.19,45.332,1.2607
-794.5,3.2673,0.077009,-0.10135,15.447,42.122,16.528
-229.2,0.00015784,-0.00010409,0.000024141,21.603,16.774,33.383
-325.77,0.00097284,0.0015686,0.00092892,72.956,30.994,16.326
65.731,1.5684,0.27527,0.034135,89.118,57.427,29.278
-709.05,0.43796,0.024107,-0.004237,30.673,12.816,1.1582
-325.74,0.00018988,0.00041946,0.00030168,75.438,23.047,14.346
-149.67,1.6798,-0.40217,-0.012304,63.535,52.454,25.872
-305.34,-0.00013569,0.00024498,0.0009937,90.409,72.353,7.9208
-647.36,0.13428,1.5802,-0.028927,44.726,34.788,5.9142
-782.02,0.033514,-0.0019644,-0.0029788,18.053,57.85,5.2571
-284.56,0.00011797,0.00005547,0.000014565,103.46,26.051,11.881
-228.88,0.00016108,-0.000046969,0.000036641,26.697,14.492,25.392
-783.4,0.24005,-0.081929,0.0014633,17.0,51.024,16.043
-746.9,0.86478,-0.62867,-0.03587,18.011,27.89,7.5171
-325.73,0.000081312,0.000087284,0.00013504,75.553,16.674,12.449
-300.09,-0.000020233,0.00028651,0.000017487,110.78,63.196,2.6221
-731.22,0.2258,-0.20469,-0.0094068,15.425,15.229,4.222
-325.79,0.0000023572,-0.000012319,0.000075074,80.595,12.847,4.1318
-296.7,-0.000054953,0.00020595,0.0021214,85.922,39.865,11.1
-289.24,0.000062854,0.00010153,0.000078692,117.37,38.409,4.9911
109.46,0.48539,-0.17211,0.0017139,104.29,65.561,36.033
-384.76,1.3196,0.67183,0.12128,54.422,54.569,2.6714
-308.47,0.0090218,0.0092119,0.0015816,86.7,58.514,0.95343
-296.58,-0.00028859,0.000979,0.00030232,94.804,41.793,17.102
-270.19,0.75651,0.15675,1.6862,54.589,73.188,20.482
-693.68,0.45961,0.39927,0.018734,37.182,22.389,2.9459
96.514,0.65859,0.0004776,-0.033834,95.88,62.948,26.032
-283.81,-0.000068847,0.000090127,0.00016579,100.15,24.633,7.2317
-43.287,0.0057714,0.0021151,0.000084061,71.787,22.451,38.805
-287.61,0.00025193,-0.00028444,0.000052917,91.146,30.699,2.858
236.76,1.0337,-1.5649,0.59273,90.662,30.475,35.353
62.313,1.094,0.60084,0.011479,88.505,60.627,30.488
-315.94,0.35379,0.55018,1.1521,64.481,63.848,9.9882
-301.5,-0.00011733,0.00033097,0.00032142,104.64,63.359,7.7606
-281.05,0.0000045528,0.0000016837,0.000022187,105.19,16.501,1.2044
-227.61,0.00052795,-0.00095228,0.0013932,17.856,50.432,25.176
-282.34,0.000022114,0.00010985,-0.0000093766,113.1,20.301,16.959
-781.66,0.031746,-0.029706,-0.00027094,20.438,55.863,1.1273
-329.14,0.32845,0.18724,0.152,69.816,50.72,12.985
-326.06,0.00020448,0.00017724,0.00039972,71.041,24.389,10.922
-283.31,0.000028104,-0.000014034,0.0001275,87.437,23.399,5.9989
-818.77,3.8066,0.29573,-0.06567,14.279,41.9,15.669
-229.5,0.00012065,-0.000073366,-0.0000061291,21.111,12.875,33.259
-304.68,-0.000059646,0.00036913,0.00066425,94.589,68.407,7.4492
-372.73,0.26865,0.19167,0.25471,48.529,65.149,2.2906
-299.95,0.0021745,-0.00069514,0.00025105,94.264,46.434,1.0178
-770.88,2.6635,-0.15713,-0.086163,18.925,44.499,17.615
105.88,0.48597,-0.17621,0.030787,102.69,65.195,37.333
-283.12,0.0000073725,0.00018859,0.0000020892,100.79,21.75,9.2427
-140.26,0.43597,-0.54644,0.14719,77.925,71.433,36.934
74.411,0.42264,0.50684,-0.0052186,86.922,65.892,21.185
-227.17,0.00013634,0.00035958,0.000098634,43.125,21.735,35.062
-227.19,0.00039589,0.001429,0.00011617,43.025,28.901,38.818
-728.44,0.52173,-0.27999,-0.00097149,19.928,19.693,7.5164
-296.66,-0.00017242,0.00067324,0.001709,89.47,41.657,13.532
-292.48,-0.0001293,0.00060834,0.00014576,102.8,39.064,18.747
-298.31,0.5137,0.62046,1.4089,49.55,70.99,17.006
-694.33,0.54774,0.38147,0.0052303,36.297,23.023,5.6925
-681.82,2.5764,0.57345,-0.0079727,28.714,41.875,13.256
-121.69,2.0962,-0.30043,-0.045348,67.459,50.89,35.41
-226.49,0.35795,-0.20173,-0.0084759,41.789,51.168,20.982
-281.06,0.000020778,0.00003423,-0.000029769,106.71,16.536,4.3981
-309.03,0.003087,0.0043636,0.0094718,87.858,57.027,7.3629
-226.72,0.00038339,-0.00069777,0.00059027,26.764,38.454,34.21
-314.26,0.014312,0.014604,0.026928,84.401,54.39,7.3927
-781.36,0.0060492,0.012376,-0.00023548,12.901,64.209,12.934
235.65,0.12679,-0.13984,0.25701,96.298,15.36,24.738
-325.49,-0.0012484,-0.00038736,0.002797,63.325,44.887,8.4223
-246.86,0.6045,-0.36326,0.71416,43.363,67.254,32.927
72.582,0.50477,0.53013,0.037127,86.844,64.831,22.617
-42.295,0.026207,0.0076675,0.0018282,74.75,34.153,22.844
-224.12,0.33313,-0.13916,0.064398,41.005,50.406,37.454
-228.82,0.000199,-0.000084538,0.000020825,24.476,18.903,35.058
-293.44,0.42413,0.099466,1.3584,45.027,74.114,21.601
-226.93,0.0019843,0.0023494,0.0010718,40.157,34.034,35.794
-446.16,2.6973,1.6397,0.4715,47.814,51.999,9.6286
-149.17,1.5336,-0.56982,-0.0043906,63.376,55.23,32.609
-300.58,0.00028483,0.0005037,-0.000053448,103.85,58.866,2.39
270.97,0.67155,1.0558,1.9618,97.324,19.411,35.589
-747.29,1.5037,-0.67722,-0.0036335,20.407,32.168,8.0764
-291.24,-0.00010574,0.00077344,0.00008116,86.122,35.96,17.113
-226.29,0.00073596,-0.0012212,0.0014154,30.563,39.871,33.019
-43.672,0.0024182,0.0018485,0.00013826,74.939,18.101,35.551
-446.98,0.37595,4.1629,1.0105,37.91,55.566,13.518
-697.09,0.16782,0.10144,-0.00024634,41.572,13.036,9.5777
237.77,-0.037422,0.013507,0.40041,101.84,11.2,30.089
-353.27,0.90831,0.60295,0.090541,59.796,53.424,14.462
74.922,1.9637,-1.8724,0.1537,87.37,47.916,29.162
-227.5,0.00004862,-0.000011555,0.00004038,42.655,11.194,22.861
-210.56,0.86434,-0.37727,0.16242,49.818,57.681,35.14
75.485,0.11354,0.57979,-0.015596,83.256,65.888,33.92
-188.53,1.1504,-0.18601,0.93285,64.357,74.31,29.825
-302.52,-0.0010059,0.0038057,0.0017803,86.609,45.38,17.309
-669.66,0.47921,0.90775,0.010324,39.723,29.174,9.4349
-326.01,0.000063647,-0.00001148,0.000065562,73.526,11.122,14.593
-213.25,0.80222,-0.35303,0.066624,47.239,53.12,30.039
-75.539,2.6796,-1.8387,0.049969,75.76,55.406,27.064
-780.97,0.0044959,0.0010212,-0.00000914,17.973,72.259,7.1195
-287.92,0.00001237,0.00028216,0.000022845,118.2,36.856,1.3109
-296.64,-0.000068075,0.00023795,0.00011284,108.55,51.079,8.5173
-282.99,0.000015449,0.00033248,0.000087749,83.694,23.539,17.262
-211.19,1.1063,-0.66432,0.17951,52.738,61.788,30.069
-207.13,0.86816,-0.11085,-0.0024527,48.823,48.954,24.86
-228.25,0.00020244,-0.000086453,0.000040397,30.594,16.427,22.644
-781.78,0.0084515,-0.0053094,-0.0005534,24.082,63.475,10.192
-704.14,1.3371,0.19509,-0.03862,28.212,31.071,15.825
77.183,0.070873,0.23913,0.0047014,83.225,70.731,34.968
